,IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
20,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
39,BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,USA,42.36435,-71.00518
51,BWI,Baltimore-Washington International Airport,Baltimore,MD,USA,39.1754,-76.6682
66,CLT,Charlotte Douglas International Airport,Charlotte,NC,USA,35.21401,-80.94313
84,DCA,Ronald Reagan Washington National Airport,Arlington,VA,USA,38.85208,-77.03772
85,DEN,Denver International Airport,Denver,CO,USA,39.85841,-104.667
86,DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
106,EWR,Newark Liberty International Airport,Newark,NJ,USA,40.6925,-74.16866
151,IAH,George Bush Intercontinental Airport,Houston,TX,USA,29.98047,-95.33972
166,JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,USA,40.63975,-73.77893
176,LAX,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
182,LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,USA,40.77724,-73.87261
195,MDW,Chicago Midway International Airport,Chicago,IL,USA,41.78598,-87.75242
228,ORD,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446
278,SFO,San Francisco International Airport,San Francisco,CA,USA,37.619,-122.37484
